;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;;;;
T6367;14;71;77;50;88;37;95;58;41;45;T6367;576;;
T6368;23;78;32;11;58;50;20;10;85;34;T6368;401;;
T6369;25;59;51;69;77;60;62;21;99;82;T6369;605;;
T6370;24;10;64;53;37;40;41;45;34;12;T6370;360;;
T6371;72;45;98;88;81;34;43;86;11;48;T6371;606;;
T6372;90;45;48;18;89;80;39;49;83;62;T6372;603;;
T6373;28;38;50;42;76;91;97;76;61;26;T6373;585;;
T6374;68;42;63;48;73;79;59;26;36;39;T6374;533;;
T6375;81;22;36;60;54;87;38;97;11;47;T6375;533;;
T6376;22;96;42;70;62;26;98;61;65;67;T6376;609;;
T6377;25;20;61;61;97;12;22;69;65;70;T6377;502;;
T6378;60;57;11;94;89;83;87;27;33;41;T6378;582;;
T6379;76;79;99;48;50;50;15;99;64;25;T6379;605;;
T6380;20;81;13;64;17;61;20;70;30;56;T6380;432;;
T6381;63;95;88;16;46;13;73;27;10;69;T6381;500;;
T6382;32;62;72;65;59;89;78;94;10;91;T6382;652;;
T6383;37;22;19;29;56;80;72;93;34;82;T6383;524;;
T6384;79;26;55;65;45;25;75;40;98;43;T6384;551;;
T6385;25;80;90;49;31;40;74;18;98;45;T6385;550;;
T6386;54;16;44;43;46;97;30;62;13;50;T6386;455;;
T6387;59;32;79;74;16;67;42;59;32;34;T6387;494;;
T6388;89;36;46;93;12;69;36;31;39;12;T6388;463;;
T6389;96;32;12;33;76;45;52;40;33;69;T6389;488;;
T6390;41;49;85;43;38;40;15;59;40;15;T6390;425;;
T6391;20;64;70;90;27;80;41;51;90;31;T6391;564;;
T6392;27;94;100;18;71;37;20;56;47;59;T6392;529;;
T6393;34;62;87;10;36;100;48;29;47;65;T6393;518;;
T6394;76;70;23;98;79;89;77;46;17;91;T6394;666;;
T6395;78;93;58;57;98;54;70;93;71;20;T6395;692;;
T6396;75;97;81;80;19;29;55;36;91;61;T6396;624;;
T6397;86;31;71;39;20;60;38;47;43;27;T6397;462;;
T6398;100;43;41;94;18;90;23;66;39;61;T6398;575;;
T6399;71;93;15;61;93;63;24;39;36;25;T6399;520;;
T6400;99;13;52;48;66;46;44;27;36;63;T6400;494;;
T6401;98;13;52;76;52;43;53;25;33;57;T6401;502;;
T6402;56;14;17;66;43;71;18;50;29;41;T6402;405;;
T6403;78;71;17;92;85;68;47;76;59;65;T6403;658;;
T6404;100;14;45;87;48;50;46;41;86;97;T6404;614;;
T6405;65;26;83;40;11;56;56;39;69;74;T6405;519;;
T6406;16;37;40;50;39;50;23;19;96;66;T6406;436;;
T6407;74;79;34;51;97;27;52;79;48;55;T6407;596;;
T6408;17;92;79;68;37;76;36;80;50;12;T6408;547;;
T6409;83;31;92;85;48;30;64;20;75;17;T6409;545;;
T6410;39;12;36;86;78;87;57;49;83;40;T6410;567;;
T6411;42;59;93;26;36;43;39;87;23;14;T6411;462;;
T6412;100;35;60;47;58;54;73;90;25;13;T6412;555;;
T6413;45;69;71;53;39;21;41;76;40;56;T6413;511;;
T6414;29;59;56;75;73;36;20;67;78;88;T6414;581;;
T6415;25;52;20;83;21;40;41;57;72;37;T6415;448;;
T6416;25;29;49;60;20;77;96;36;12;41;T6416;445;;
T6417;42;36;65;75;69;62;29;27;66;79;T6417;550;;
T6418;46;95;20;56;91;26;39;84;73;18;T6418;548;;
T6419;20;67;30;69;76;38;85;53;57;24;T6419;519;;
T6420;93;23;53;39;18;68;71;50;16;48;T6420;479;;
T6421;83;56;100;56;19;94;10;20;98;42;T6421;578;;
T6422;36;90;89;19;14;19;94;24;66;56;T6422;507;;
T6423;66;79;66;27;51;40;51;34;19;36;T6423;469;;
T6424;33;75;72;38;36;49;37;74;18;16;T6424;448;;
T6425;31;21;51;85;45;31;38;41;23;32;T6425;398;;
T6426;38;19;99;32;66;100;29;42;67;10;T6426;502;;
T6427;59;14;64;12;74;98;96;15;94;93;T6427;619;;
T6428;48;82;27;27;71;39;36;29;42;18;T6428;419;;
T6429;23;79;93;42;24;14;54;42;21;23;T6429;415;;
T6430;13;63;76;87;72;29;79;98;80;57;T6430;654;;
T6431;65;86;75;82;19;81;36;42;86;38;T6431;610;;
T6432;29;46;96;85;59;74;46;31;37;39;T6432;542;;
T6433;95;40;46;51;71;76;85;85;41;59;T6433;649;;
T6434;28;90;65;36;50;53;11;96;48;75;T6434;552;;
T6435;47;37;67;51;47;60;82;75;33;86;T6435;585;;
T6436;38;81;33;45;58;29;47;23;20;99;T6436;473;;
T6437;11;55;11;18;90;23;30;21;14;25;T6437;298;;
T6438;64;28;30;70;46;91;30;72;65;15;T6438;511;;
T6439;84;52;21;34;54;100;20;39;67;38;T6439;509;;
T6440;21;10;77;66;11;49;57;54;94;22;T6440;461;;
T6441;81;23;61;70;100;97;91;45;58;100;T6441;726;;
T6442;65;100;100;94;59;29;16;75;20;23;T6442;581;;
T6443;48;15;47;62;74;99;28;59;72;39;T6443;543;;
T6444;53;14;65;32;40;28;38;18;32;10;T6444;330;;
T6445;32;90;19;50;61;18;46;41;37;53;T6445;447;;
T6446;14;29;12;91;27;30;69;99;57;14;T6446;442;;
T6447;32;58;50;18;80;50;94;78;68;72;T6447;600;;
T6448;18;25;69;90;56;20;64;81;76;32;T6448;531;;
T6449;53;19;95;34;74;59;98;48;19;35;T6449;534;;
T6450;45;87;60;76;40;94;26;91;64;69;T6450;652;;
T6451;14;48;50;26;30;88;62;72;36;72;T6451;498;;
T6452;50;71;71;92;49;18;43;53;55;75;T6452;577;;
T6453;23;46;78;82;67;41;74;53;29;91;T6453;584;;
T6454;11;98;55;37;62;74;65;51;71;94;T6454;618;;
T6455;48;48;52;41;85;89;74;100;51;81;T6455;669;;
T6456;10;74;92;38;18;37;66;41;87;24;T6456;487;;
T6457;90;65;27;61;54;92;26;94;42;91;T6457;642;;
T6458;34;59;12;11;95;48;10;64;16;28;T6458;377;;
T6459;23;30;69;96;70;62;40;32;50;24;T6459;496;;
T6460;100;64;95;58;61;85;79;61;90;63;T6460;756;;
T6461;69;60;40;79;64;11;83;44;52;27;T6461;529;;
T6462;29;87;21;14;41;51;95;60;57;99;T6462;554;;
T6463;46;77;51;36;46;52;92;32;24;67;T6463;523;;
T6464;72;28;31;70;87;27;87;16;100;49;T6464;567;;
T6465;71;80;22;57;53;67;18;58;13;69;T6465;508;;
T6466;40;47;46;53;80;91;85;88;100;41;T6466;671;;
T6467;99;78;97;59;65;56;30;95;95;84;T6467;758;;
T6468;77;67;75;69;63;75;76;26;46;68;T6468;642;;
T6469;22;11;84;36;84;32;27;63;55;46;T6469;460;;
T6470;38;39;20;24;66;72;48;71;73;73;T6470;524;;
T6471;85;49;52;64;63;41;36;24;37;67;T6471;518;;
T6472;15;82;60;29;42;76;82;50;76;65;T6472;577;;
T6473;33;59;20;96;86;51;94;59;18;75;T6473;591;;
T6474;95;50;76;62;63;43;22;20;63;42;T6474;536;;
T6475;99;25;62;64;20;46;58;59;94;61;T6475;588;;
T6476;82;12;74;91;99;34;43;81;54;58;T6476;628;;
T6477;45;28;64;52;72;87;99;86;76;40;T6477;649;;
T6478;32;94;24;98;53;13;95;88;18;45;T6478;560;;
T6479;65;51;31;66;74;13;88;98;55;45;T6479;586;;
T6480;49;59;39;39;48;71;71;92;57;48;T6480;573;;
T6481;90;50;84;48;97;47;24;81;81;14;T6481;616;;
T6482;27;41;84;44;91;70;86;21;50;33;T6482;547;;
T6483;74;39;89;53;20;33;93;52;14;86;T6483;553;;
T6484;84;57;29;31;63;82;32;92;17;17;T6484;504;;
T6485;12;17;81;34;99;33;14;81;50;66;T6485;487;;
T6486;20;26;58;39;53;65;20;37;14;41;T6486;373;;
T6487;56;48;75;62;74;14;95;79;70;50;T6487;623;;
T6488;12;79;42;46;95;52;51;97;48;13;T6488;535;;
T6489;21;69;62;56;86;35;28;72;91;69;T6489;589;;
T6490;79;62;23;87;23;28;70;97;83;86;T6490;638;;
T6491;94;41;22;85;47;80;51;47;89;53;T6491;609;;
T6492;100;93;60;82;55;19;63;68;29;12;T6492;581;;
T6493;72;87;27;87;50;49;62;88;97;65;T6493;684;;
T6494;12;16;96;54;30;54;14;38;56;88;T6494;458;;
T6495;13;26;49;57;59;14;30;48;68;82;T6495;446;;
T6496;10;38;87;97;25;24;62;93;46;13;T6496;495;;
T6497;60;10;38;44;73;49;79;26;64;34;T6497;477;;
T6498;13;72;49;45;56;79;24;58;24;48;T6498;468;;
T6499;71;23;85;46;92;91;49;43;91;51;T6499;642;;
T6500;38;25;91;80;68;41;80;60;22;94;T6500;599;;
T6501;40;17;69;37;10;56;79;19;40;77;T6501;444;;
T6502;66;98;88;64;67;23;15;22;16;28;T6502;487;;
T6503;72;70;31;79;36;47;32;68;94;58;T6503;587;;
T6504;36;31;39;36;76;85;13;79;20;21;T6504;436;;
T6505;35;33;72;46;61;98;22;27;63;42;T6505;499;;
T6506;18;54;78;96;78;47;98;83;11;90;T6506;653;;
T6507;55;14;44;95;14;14;13;67;54;42;T6507;412;;
T6508;38;85;24;54;11;76;73;49;22;14;T6508;446;;
T6509;15;42;51;64;75;29;75;16;48;67;T6509;482;;
T6510;93;23;53;34;76;19;63;60;73;44;T6510;538;;
T6511;51;64;44;45;71;32;47;99;49;51;T6511;553;;
T6512;30;15;67;77;54;30;61;65;51;67;T6512;517;;
T6513;22;14;21;81;59;39;25;88;57;69;T6513;475;;
T6514;95;16;35;76;80;89;50;54;19;83;T6514;597;;
T6515;70;52;63;80;46;35;53;66;11;36;T6515;512;;
T6516;94;50;83;34;52;26;93;89;96;43;T6516;660;;
T6517;19;46;28;12;74;32;63;59;71;34;T6517;438;;
T6518;68;50;25;63;13;93;61;93;82;78;T6518;626;;
T6519;44;10;100;88;12;20;13;17;55;86;T6519;445;;
T6520;24;97;48;33;33;77;44;36;54;14;T6520;460;;
T6521;37;21;40;42;51;87;17;27;56;64;T6521;442;;
T6522;49;99;15;18;60;23;45;65;82;43;T6522;499;;
T6523;68;73;70;75;100;90;69;30;41;99;T6523;715;;
T6524;52;58;61;55;78;58;72;27;27;100;T6524;588;;
T6525;75;23;28;74;19;63;30;64;30;49;T6525;455;;
T6526;24;36;54;27;24;59;10;52;78;90;T6526;454;;
T6527;20;44;35;31;32;27;40;85;75;53;T6527;442;;
T6528;52;97;62;60;62;90;80;67;11;75;T6528;656;;
T6529;97;34;48;67;20;11;58;16;71;36;T6529;458;;
T6530;93;20;82;100;36;71;62;79;73;11;T6530;627;;
T6531;73;82;84;58;23;19;80;92;95;24;T6531;630;;
T6532;70;86;38;16;20;50;56;52;16;94;T6532;498;;
T6533;87;32;18;42;43;67;90;61;93;78;T6533;611;;
T6534;22;20;70;29;16;90;78;43;90;78;T6534;536;;
T6535;78;55;20;86;44;90;51;60;28;45;T6535;557;;
T6536;61;72;20;11;40;82;64;93;93;66;T6536;602;;
T6537;47;97;14;69;97;52;25;32;59;25;T6537;517;;
T6538;49;63;45;71;77;56;27;31;55;37;T6538;511;;
T6539;68;91;31;33;98;35;75;50;67;78;T6539;626;;
T6540;18;89;62;59;83;58;31;83;53;57;T6540;593;;
T6541;75;50;26;15;12;61;19;40;76;84;T6541;458;;
T6542;56;92;56;44;99;13;21;46;69;60;T6542;556;;
T6543;49;41;72;92;27;69;87;94;80;72;T6543;683;;
T6544;10;76;47;82;75;82;99;19;79;55;T6544;624;;
T6545;37;96;37;30;75;18;91;71;93;96;T6545;644;;
T6546;72;42;36;41;19;62;47;98;69;47;T6546;533;;
T6547;56;72;27;71;96;28;60;29;98;67;T6547;604;;
T6548;80;20;34;37;90;92;44;43;72;84;T6548;596;;
T6549;15;97;51;77;10;32;99;22;100;79;T6549;582;;
T6550;21;83;10;87;47;30;69;85;94;54;T6550;580;;
T6551;73;22;90;42;26;87;49;11;57;79;T6551;536;;
T6552;43;66;37;77;22;97;24;97;27;62;T6552;552;;
T6553;66;35;60;35;92;73;56;80;57;38;T6553;592;;
T6554;18;43;60;32;60;97;39;20;16;23;T6554;408;;
T6555;54;64;26;88;35;35;27;16;79;30;T6555;454;;
T6556;71;30;70;77;70;73;83;30;59;18;T6556;581;;
T6557;65;14;88;23;85;76;57;28;24;70;T6557;530;;
T6558;97;95;85;15;58;32;42;89;45;91;T6558;649;;
T6559;94;29;60;97;71;17;58;35;78;14;T6559;553;;
T6560;17;51;47;75;58;59;46;50;23;60;T6560;486;;
T6561;37;17;48;53;36;27;65;28;17;65;T6561;393;;
T6562;28;63;36;53;47;17;76;54;86;85;T6562;545;;
T6563;36;91;64;30;59;60;67;71;71;69;T6563;618;;
T6564;50;17;80;49;48;67;57;100;64;51;T6564;583;;
T6565;47;61;79;75;28;10;41;59;86;25;T6565;511;;
T6566;20;24;81;84;74;92;35;55;72;40;T6566;577;;
T6567;67;42;58;88;32;29;47;56;20;75;T6567;514;;
T6568;28;32;92;43;17;46;17;65;17;61;T6568;418;;
T6569;10;86;96;87;66;70;46;41;91;77;T6569;670;;
T6570;62;63;86;35;77;81;50;60;82;62;T6570;658;;
T6571;48;65;80;21;13;96;42;60;79;76;T6571;580;;
T6572;19;99;28;42;52;52;19;51;11;74;T6572;447;;
T6573;53;40;34;80;81;71;92;74;75;65;T6573;665;;
T6574;55;88;79;13;66;100;100;51;78;68;T6574;698;;
T6575;63;66;21;72;15;84;72;37;31;81;T6575;542;;
T6576;44;79;73;51;89;29;48;100;43;75;T6576;631;;
T6577;47;59;55;12;27;23;48;40;45;55;T6577;411;;
T6578;46;99;17;82;88;49;90;79;23;66;T6578;639;;
T6579;43;67;17;94;23;80;57;12;82;12;T6579;487;;
T6580;78;67;97;75;82;34;52;18;83;67;T6580;653;;
T6581;70;42;39;81;16;59;90;17;84;70;T6581;568;;
T6582;30;58;15;93;100;22;80;11;55;40;T6582;504;;
T6583;76;98;49;80;44;33;45;46;22;84;T6583;577;;
T6584;73;28;26;35;10;65;75;96;44;28;T6584;480;;
T6585;60;44;70;61;58;50;62;69;81;16;T6585;571;;
T6586;69;10;50;68;34;83;93;61;86;77;T6586;631;;
T6587;45;86;43;59;84;30;43;29;59;92;T6587;570;;
T6588;41;66;68;14;11;69;56;36;92;42;T6588;495;;
T6589;44;47;64;49;88;60;15;99;24;12;T6589;502;;
T6590;50;80;93;68;76;37;53;41;35;56;T6590;589;;
T6591;17;59;76;94;54;56;49;55;13;76;T6591;549;;
T6592;25;31;33;84;56;34;47;72;88;31;T6592;501;;
T6593;100;47;18;56;71;75;27;60;88;48;T6593;590;;
T6594;99;23;32;12;61;95;100;35;83;20;T6594;560;;
T6595;50;47;38;70;28;27;50;21;40;79;T6595;450;;
T6596;76;74;43;95;68;71;75;96;10;86;T6596;694;;
T6597;52;19;69;60;10;48;37;61;73;75;T6597;504;;
T6598;51;21;70;47;97;15;95;55;56;31;T6598;538;;
T6599;77;10;81;98;19;94;62;99;94;41;T6599;675;;
T6600;89;46;78;53;49;97;43;73;50;69;T6600;647;;
T6601;68;50;33;31;18;75;23;55;76;20;T6601;449;;
T6602;86;23;77;44;53;66;57;37;100;71;T6602;614;;
T6603;34;23;16;31;30;97;85;60;46;38;T6603;460;;
T6604;82;100;90;63;82;40;51;22;29;36;T6604;595;;
T6605;16;53;37;59;22;89;74;55;35;34;T6605;474;;
T6606;88;24;14;35;36;14;90;37;33;40;T6606;411;;
T6607;56;10;94;39;81;73;63;15;10;70;T6607;511;;
T6608;43;32;58;97;95;66;74;70;34;39;T6608;608;;
T6609;86;65;39;54;90;41;83;53;87;59;T6609;657;;
T6610;97;83;14;20;28;27;36;32;72;68;T6610;477;;
T6611;21;28;24;28;28;50;87;22;17;44;T6611;349;;
T6612;67;97;24;72;75;18;34;57;54;54;T6612;552;;
T6613;33;59;68;80;83;23;94;51;49;34;T6613;574;;
T6614;14;67;41;17;58;85;68;91;83;51;T6614;575;;
T6615;49;97;48;34;56;75;16;65;21;65;T6615;526;;
T6616;33;35;71;51;86;73;84;62;70;85;T6616;650;;
T6617;74;27;94;82;77;90;92;44;19;97;T6617;696;;
T6618;39;23;17;68;94;26;53;44;99;91;T6618;554;;
T6619;64;32;80;51;96;63;38;89;97;92;T6619;702;;
T6620;98;51;12;82;27;72;26;86;20;67;T6620;541;;
T6621;95;68;40;94;30;37;40;96;90;18;T6621;608;;
T6622;47;95;18;62;58;55;32;68;23;84;T6622;542;;
T6623;31;82;62;80;59;97;67;67;96;39;T6623;680;;
T6624;13;74;56;58;17;90;45;57;19;15;T6624;444;;
T6625;28;11;76;18;86;10;61;34;86;49;T6625;459;;
T6626;84;100;60;11;89;43;92;45;75;85;T6626;684;;
T6627;44;77;50;30;87;26;66;94;47;81;T6627;602;;
T6628;75;81;28;73;40;83;52;17;93;53;T6628;595;;
T6629;49;50;24;96;59;56;31;37;54;27;T6629;483;;
T6630;48;40;89;72;43;20;56;78;11;84;T6630;541;;
T6631;35;53;95;85;19;18;69;75;43;98;T6631;590;;
T6632;51;51;91;81;13;27;29;62;53;55;T6632;513;;
T6633;84;80;52;38;38;72;31;92;46;31;T6633;564;;
T6634;82;39;58;12;22;68;74;71;89;15;T6634;530;;
T6635;98;95;42;99;17;24;99;51;48;30;T6635;603;;
T6636;31;95;74;26;89;58;83;79;13;98;T6636;646;;
T6637;66;50;22;96;45;69;41;36;16;21;T6637;462;;
T6638;46;18;94;93;94;27;24;96;89;88;T6638;669;;
T6639;23;25;71;68;42;26;87;33;80;31;T6639;486;;
T6640;86;55;16;16;74;48;46;99;98;21;T6640;559;;
T6641;43;64;100;50;32;23;38;81;80;65;T6641;576;;
T6642;92;54;18;18;61;79;63;29;96;33;T6642;543;;
T6643;97;20;20;15;35;26;93;34;35;80;T6643;455;;
T6644;100;73;73;50;86;57;58;48;44;43;T6644;632;;
T6645;75;40;66;91;58;67;88;18;12;97;T6645;612;;
T6646;39;54;39;54;77;77;70;63;46;62;T6646;581;;
T6647;36;17;58;98;27;96;61;66;45;54;T6647;558;;
T6648;61;83;53;42;50;73;65;39;28;76;T6648;570;;
T6649;62;80;48;84;43;28;96;51;39;53;T6649;584;;
T6650;86;32;38;23;36;36;66;41;65;43;T6650;466;;
T6651;26;80;14;40;84;69;20;99;79;17;T6651;528;;
T6652;81;40;91;56;48;24;92;98;69;18;T6652;617;;
T6653;79;37;32;97;44;30;51;56;50;81;T6653;557;;
T6654;69;39;100;24;72;79;79;16;98;30;T6654;606;;
T6655;18;11;11;31;58;39;98;32;30;87;T6655;415;;
T6656;39;31;34;26;88;59;92;50;81;49;T6656;549;;
T6657;26;73;70;27;22;52;57;100;19;15;T6657;461;;
T6658;90;88;95;46;19;95;18;75;76;68;T6658;670;;
T6659;34;46;40;50;10;73;31;71;62;71;T6659;488;;
T6660;25;85;30;13;31;13;87;81;11;33;T6660;409;;
T6661;87;93;65;60;34;68;100;67;71;84;T6661;729;;
T6662;94;82;58;99;19;88;69;81;46;74;T6662;710;;
T6663;68;79;79;33;21;31;44;49;92;93;T6663;589;;
T6664;32;11;21;76;19;57;58;66;98;97;T6664;535;;
T6665;47;64;51;84;97;48;47;53;52;18;T6665;561;;
T6666;91;86;33;14;52;65;60;76;79;31;T6666;587;;
T6667;76;64;30;67;53;81;52;71;95;41;T6667;630;;
T6668;13;65;22;51;87;41;44;80;63;30;T6668;496;;
T6669;95;85;20;34;37;99;51;40;80;84;T6669;625;;
T6670;80;17;10;49;14;89;11;77;47;17;T6670;411;;
T6671;27;50;88;86;26;54;11;33;68;74;T6671;517;;
T6672;74;100;76;95;64;33;89;39;83;58;T6672;711;;
T6673;95;47;39;81;23;50;88;87;91;23;T6673;624;;
T6674;64;12;24;61;76;34;34;36;71;33;T6674;445;;
T6675;95;54;36;57;67;11;28;15;20;51;T6675;434;;
T6676;33;93;78;19;44;77;48;37;24;18;T6676;471;;
T6677;53;14;98;17;80;36;55;46;97;96;T6677;592;;
T6678;16;29;81;72;94;57;60;93;70;35;T6678;607;;
T6679;58;72;88;48;59;56;39;59;27;82;T6679;588;;
T6680;64;80;25;96;51;20;84;71;81;75;T6680;647;;
T6681;93;27;52;71;41;67;56;53;46;91;T6681;597;;
T6682;63;89;36;89;85;50;67;28;82;52;T6682;641;;
T6683;75;61;59;89;13;77;97;87;71;85;T6683;714;;
T6684;79;21;99;43;12;22;79;92;70;98;T6684;615;;
T6685;84;49;68;83;19;23;77;90;94;75;T6685;662;;
T6686;91;25;49;25;98;82;55;31;99;51;T6686;606;;
T6687;29;75;57;55;63;33;23;22;41;74;T6687;472;;
T6688;22;96;21;54;47;78;28;100;43;92;T6688;581;;
T6689;52;12;58;37;84;62;31;38;73;65;T6689;512;;
T6690;34;65;35;32;61;64;56;13;96;46;T6690;502;;
T6691;38;41;68;59;58;84;73;83;78;22;T6691;604;;
T6692;53;74;34;66;22;46;50;32;49;11;T6692;437;;
T6693;12;38;50;34;65;60;39;14;46;58;T6693;416;;
T6694;10;10;89;55;32;76;40;44;59;39;T6694;454;;
T6695;68;82;86;80;52;51;63;41;94;15;T6695;632;;
T6696;48;85;71;89;97;25;15;44;45;55;T6696;574;;
T6697;80;56;18;13;32;89;33;55;86;15;T6697;477;;
T6698;10;46;91;24;99;42;90;83;29;84;T6698;598;;
T6699;12;80;65;83;89;77;27;94;96;99;T6699;722;;
T6700;14;34;75;62;55;87;82;77;65;100;T6700;651;;
T6701;64;69;91;94;98;47;92;83;34;67;T6701;739;;
T6702;40;94;98;89;28;81;80;88;58;27;T6702;683;;
T6703;39;99;78;88;28;27;30;48;93;95;T6703;625;;
T6704;91;65;98;64;88;28;55;67;25;20;T6704;601;;
T6705;15;85;98;29;78;48;56;60;50;63;T6705;582;;
T6706;25;66;55;46;30;92;44;77;44;53;T6706;532;;
T6707;96;65;66;99;61;39;74;76;55;49;T6707;680;;
T6708;98;34;85;51;34;84;83;52;44;24;T6708;589;;
T6709;88;26;45;43;86;45;38;38;24;15;T6709;448;;
T6710;97;100;63;96;45;68;56;91;29;29;T6710;674;;
T6711;93;13;59;69;60;70;87;44;71;37;T6711;603;;
T6712;48;31;68;86;45;43;95;19;51;64;T6712;550;;
T6713;95;23;14;95;94;12;11;96;95;55;T6713;590;;
T6714;56;21;53;91;12;93;75;10;63;90;T6714;564;;
T6715;56;64;85;23;82;53;54;87;43;28;T6715;575;;
T6716;91;81;45;71;95;23;21;83;96;12;T6716;618;;
T6717;60;59;40;52;22;46;14;69;52;41;T6717;455;;
T6718;38;86;33;82;35;29;87;21;59;20;T6718;490;;
T6719;13;39;22;55;42;61;12;49;47;99;T6719;439;;
T6720;50;19;22;36;39;38;92;74;49;24;T6720;443;;
T6721;60;49;85;81;57;94;38;12;83;68;T6721;627;;
T6722;63;58;30;27;73;74;43;16;47;45;T6722;476;;
T6723;40;62;71;80;54;82;42;88;56;57;T6723;632;;
T6724;57;84;64;33;51;65;47;55;92;65;T6724;613;;
T6725;54;20;39;67;96;90;92;56;99;65;T6725;678;;
T6726;99;94;56;57;71;84;48;58;28;91;T6726;686;;
T6727;24;80;10;66;12;88;64;42;68;43;T6727;497;;
T6728;91;16;31;56;44;86;72;41;37;54;T6728;528;;
T6729;39;34;16;93;13;26;20;68;25;69;T6729;403;;
T6730;98;85;93;93;67;13;58;11;18;72;T6730;608;;
T6731;45;51;34;36;50;81;77;37;61;69;T6731;541;;
T6732;81;44;34;40;77;27;23;61;47;65;T6732;499;;
T6733;58;47;55;47;91;55;54;77;48;26;T6733;558;;
T6734;75;59;59;90;57;18;25;19;32;47;T6734;481;;
T6735;20;29;41;32;20;19;43;36;37;36;T6735;313;;
T6736;32;61;89;88;54;58;91;90;54;59;T6736;676;;
T6737;63;19;82;67;17;17;25;18;36;94;T6737;438;;
T6738;73;36;15;12;38;99;60;79;49;48;T6738;509;;
T6739;28;54;84;22;57;33;87;64;71;82;T6739;582;;
T6740;73;93;34;52;92;28;50;17;99;41;T6740;579;;
T6741;38;78;67;32;10;56;42;38;34;88;T6741;483;;
T6742;10;91;89;85;85;27;70;26;64;69;T6742;616;;
T6743;96;51;83;17;60;81;98;74;98;80;T6743;738;;
T6744;26;70;14;85;47;71;47;72;75;63;T6744;570;;
T6745;80;43;24;66;65;17;46;49;70;31;T6745;491;;
T6746;39;14;89;73;96;22;38;28;13;10;T6746;422;;
T6747;55;43;58;13;73;12;56;58;25;99;T6747;492;;
T6748;96;88;97;62;18;49;45;70;68;41;T6748;634;;
T6749;21;66;72;65;95;37;52;46;44;58;T6749;556;;
T6750;41;89;93;54;48;23;16;94;36;97;T6750;591;;
T6751;29;49;60;38;92;95;54;93;45;71;T6751;626;;
T6752;58;54;32;62;13;39;28;40;73;37;T6752;436;;
T6753;84;41;74;98;98;81;52;15;15;66;T6753;624;;
T6754;63;49;40;74;17;73;61;39;68;17;T6754;501;;
T6755;87;24;49;98;28;86;65;33;40;59;T6755;569;;
T6756;93;97;71;75;29;46;30;92;53;16;T6756;602;;
T6757;84;79;92;72;18;91;66;51;39;28;T6757;620;;
T6758;12;88;71;54;41;33;88;12;11;91;T6758;501;;
T6759;74;10;92;68;22;96;75;65;50;99;T6759;651;;
T6760;10;98;67;60;24;38;52;71;84;82;T6760;586;;
T6761;41;70;15;48;13;73;48;96;51;96;T6761;551;;
T6762;59;46;57;87;76;87;59;36;41;27;T6762;575;;
T6763;56;37;52;68;76;77;42;42;39;69;T6763;558;;
T6764;61;17;55;36;61;77;64;14;14;59;T6764;458;;
T6765;26;51;38;97;11;11;29;67;93;58;T6765;481;;
T6766;34;27;99;68;30;12;53;58;14;61;T6766;456;;
T6767;67;70;13;54;79;37;70;50;74;82;T6767;596;;
T6768;94;37;88;78;56;50;44;57;66;97;T6768;667;;
T6769;57;48;35;34;60;53;29;31;58;14;T6769;419;;
T6770;65;27;77;31;50;87;86;79;90;52;T6770;644;;
T6771;65;11;45;54;77;60;71;42;100;85;T6771;610;;
T6772;49;76;56;32;52;63;45;60;54;69;T6772;556;;
T6773;23;11;47;26;29;42;55;96;91;24;T6773;444;;
T6774;86;16;23;81;35;24;94;53;76;46;T6774;534;;
T6775;33;34;60;22;24;41;71;64;98;47;T6775;494;;
T6776;37;32;98;83;84;71;17;91;85;27;T6776;625;;
T6777;17;29;18;71;14;11;72;35;14;89;T6777;370;;
T6778;77;98;34;32;82;45;83;26;85;70;T6778;632;;
T6779;92;72;45;42;26;39;68;92;55;40;T6779;571;;
T6780;55;67;30;18;64;89;89;44;22;58;T6780;536;;
T6781;11;64;58;61;96;23;85;44;55;75;T6781;572;;
T6782;25;57;71;14;31;79;29;31;32;59;T6782;428;;
T6783;71;69;33;45;67;72;61;26;30;72;T6783;546;;
T6784;100;85;39;95;11;45;59;81;67;27;T6784;609;;
T6785;35;10;71;21;33;28;91;37;98;100;T6785;524;;
T6786;98;40;36;93;55;69;79;68;28;50;T6786;616;;
T6787;37;23;79;87;65;21;17;43;89;93;T6787;554;;
T6788;72;34;33;21;48;52;58;85;78;37;T6788;518;;
T6789;39;76;92;96;15;70;97;52;57;63;T6789;657;;
T6790;42;47;51;71;85;16;50;27;89;98;T6790;576;;
T6791;30;64;13;76;42;49;28;13;72;97;T6791;484;;
T6792;10;94;42;84;43;48;59;79;96;70;T6792;625;;
T6793;72;64;66;79;34;74;16;23;69;28;T6793;525;;
T6794;69;39;60;31;43;34;64;78;98;29;T6794;545;;
T6795;75;35;99;99;51;73;69;80;100;47;T6795;728;;
T6796;89;44;90;21;69;30;29;79;65;10;T6796;526;;
T6797;22;11;69;76;11;89;58;57;84;78;T6797;555;;
T6798;80;10;54;52;31;19;26;52;28;26;T6798;378;;
T6799;92;100;95;62;74;79;73;29;56;26;T6799;686;;
T6800;89;83;16;70;59;37;91;97;58;43;T6800;643;;
T6801;47;59;17;84;48;92;30;43;19;94;T6801;533;;
T6802;25;68;22;53;67;100;65;37;28;78;T6802;543;;
